ubigeo,anio,cluster
060701,2020,0
060702,2020,0
060703,2020,0
060801,2020,3
060802,2020,3
060803,2020,3
060804,2020,4
060805,2020,3
060806,2020,3
060807,2020,3
060808,2020,3
060809,2020,3
060810,2020,3
060811,2020,3
060812,2020,2
060901,2020,3
060902,2020,3
060903,2020,3
060904,2020,3
060905,2020,3
060906,2020,3
060907,2020,3
061001,2020,0
061002,2020,0
061003,2020,0
061004,2020,0
061005,2020,0
061006,2020,0
061007,2020,0
061101,2020,4
061102,2020,4
061103,2020,4
061104,2020,0
061105,2020,4
061106,2020,4
061107,2020,4
061108,2020,1
061109,2020,4
061110,2020,1
061111,2020,4
061112,2020,4
061113,2020,4
061201,2020,4
061202,2020,4
061203,2020,4
061204,2020,0
061301,2020,4
061302,2020,4
061303,2020,4
061304,2020,4
061305,2020,4
061306,2020,4
061307,2020,4
061308,2020,4
061309,2020,4
061310,2020,4
061311,2020,4
070101,2020,1
070102,2020,1
070103,2020,1
070104,2020,1
070105,2020,1
070106,2020,1
070107,2020,1
080101,2020,0
080102,2020,0
080103,2020,0
080104,2020,0
080105,2020,0
080106,2020,0
080107,2020,0
080108,2020,10
080201,2020,0
080202,2020,0
080203,2020,0
080204,2020,0
080205,2020,0
080206,2020,0
080207,2020,0
080301,2020,0
080302,2020,0
080303,2020,0
080304,2020,0
080305,2020,0
080306,2020,0
080307,2020,0
080308,2020,0
080309,2020,0
080401,2020,0
080402,2020,0
080403,2020,0
080404,2020,0
080405,2020,0
080406,2020,0
080407,2020,0
080408,2020,3
080501,2020,9
080502,2020,9
080503,2020,9
080504,2020,9
080505,2020,9
080506,2020,0
080507,2020,9
080508,2020,9
080601,2020,9
080602,2020,9
080603,2020,0
080604,2020,9
080605,2020,9
080606,2020,9
080607,2020,0
080608,2020,0
080701,2020,9
080702,2020,0
080703,2020,9
080704,2020,0
080705,2020,9
080706,2020,9
080707,2020,0
080708,2020,9
080801,2020,9
080802,2020,9
080803,2020,9
080804,2020,9
080805,2020,9
080806,2020,9
080807,2020,9
080808,2020,9
080901,2020,1
080902,2020,3
080903,2020,3
080904,2020,3
080905,2020,3
080906,2020,3
080907,2020,3
080908,2020,3
080909,2020,3
080910,2020,3
080911,2020,3
080912,2020,3
080913,2020,3
080914,2020,2
080915,2020,3
080916,2020,3
080917,2020,3
080918,2020,3
081001,2020,0
081002,2020,5
081003,2020,5
081004,2020,5
081005,2020,0
081006,2020,0
081007,2020,0
081008,2020,5
081009,2020,0
081101,2020,0
081102,2020,0
081103,2020,3
081104,2020,0
081105,2020,0
081106,2020,3
081201,2020,0
081202,2020,0
081203,2020,3
081204,2020,0
081205,2020,0
081206,2020,9
081207,2020,0
081208,2020,0
081209,2020,3
081210,2020,9
081211,2020,0
081212,2020,0
081301,2020,0
081302,2020,0
081303,2020,0
081304,2020,0
081305,2020,0
081306,2020,0
081307,2020,0
090101,2020,9
090102,2020,6
090103,2020,5
090104,2020,5
090105,2020,5
090106,2020,9
090107,2020,5
090108,2020,5
090109,2020,5
090110,2020,5
090111,2020,5
090112,2020,5
090113,2020,5
090114,2020,5
090115,2020,5
090116,2020,5
090117,2020,0
090118,2020,5
090119,2020,5
090201,2020,0
090202,2020,0
090203,2020,0
090204,2020,0
090205,2020,0
090206,2020,0
090207,2020,0
090208,2020,0
