ubigeo,personal_total,programa_anemia,centro_salud_municipal,Año
060703,164,1,0,2021
060801,546,0,0,2021
060802,56,0,0,2021
060803,37,1,0,2021
060804,47,0,0,2021
060805,19,0,0,2021
060806,23,0,0,2021
060807,49,1,0,2021
060808,89,1,0,2021
060809,16,1,0,2021
060810,25,1,0,2021
060811,38,1,0,2021
060812,32,1,0,2021
060901,213,1,0,2021
060902,50,1,0,2021
060903,66,1,0,2021
060904,61,1,0,2021
060905,37,0,0,2021
060906,88,0,0,2021
060907,41,1,0,2021
061001,266,0,0,2021
061002,20,0,0,2021
061003,8,0,0,2021
061004,29,0,0,2021
061005,13,1,0,2021
061006,6,0,0,2021
061007,45,1,0,2021
061101,104,0,0,2021
061102,7,0,0,2021
061103,22,0,0,2021
061104,10,1,0,2021
061105,4,1,0,2021
061106,17,0,0,2021
061107,26,1,0,2021
061108,4,1,0,2021
061109,9,0,0,2021
061110,9,0,0,2021
061111,29,0,0,2021
061112,15,0,0,2021
061113,7,1,0,2021
061201,85,0,0,2021
061202,10,1,0,2021
061203,6,0,0,2021
061204,17,0,0,2021
061301,118,1,0,2021
061302,18,1,0,2021
061303,15,1,0,2021
061304,24,1,0,2021
061305,25,0,0,2021
061306,19,1,0,2021
061307,24,1,0,2021
061308,13,1,0,2021
061309,18,0,0,2021
061310,17,1,0,2021
061311,32,1,0,2021
070101,1302,0,1,2021
070102,285,1,1,2021
070103,232,1,0,2021
070104,398,1,0,2021
070105,229,0,0,2021
070106,1923,1,1,2021
070107,670,1,0,2021
080101,2128,0,1,2021
080102,46,1,0,2021
080103,157,1,0,2021
080104,1113,1,0,2021
080105,1133,1,0,2021
080106,798,1,0,2021
080107,35,1,0,2021
080108,516,1,1,2021
080201,56,0,0,2021
080202,5,1,0,2021
080203,26,1,0,2021
080204,2,1,0,2021
080205,47,0,0,2021
080206,6,1,0,2021
080207,4,1,0,2021
080301,360,1,0,2021
080302,28,1,0,2021
080303,61,1,0,2021
080304,20,0,1,2021
080305,127,1,0,2021
080306,122,1,0,2021
080307,8,1,0,2021
080308,79,1,0,2021
080309,10,1,0,2021
080401,642,1,0,2021
080402,62,1,0,2021
080403,20,1,0,2021
080404,48,0,0,2021
080405,204,1,0,2021
080406,30,1,0,2021
080407,39,0,0,2021
080408,78,1,0,2021
080501,228,1,0,2021
080502,9,1,0,2021
080503,11,1,0,2021
080504,15,1,0,2021
080505,29,1,1,2021
080506,14,1,0,2021
080507,12,0,0,2021
080508,5,1,0,2021
080601,270,1,0,2021
080602,16,1,0,2021
080603,10,1,0,2021
080604,114,1,0,2021
080605,10,1,0,2021
080606,15,1,0,2021
080607,9,1,0,2021
080608,16,1,0,2021
080701,754,1,0,2021
080702,10,1,0,2021
080703,163,1,0,2021
080704,16,1,0,2021
080705,425,1,0,2021
080706,22,1,0,2021
080707,17,1,0,2021
080708,28,0,0,2021
080801,492,0,0,2021
080802,17,0,0,2021
080803,128,1,0,2021
080804,6,1,0,2021
080805,387,1,0,2021
080806,158,1,0,2021
080807,7,0,0,2021
080808,126,1,0,2021
080901,1392,1,0,2021
080902,1599,1,0,2021
080903,155,1,0,2021
080904,173,1,0,2021
080905,444,0,0,2021
080906,1467,0,0,2021
080907,59,1,0,2021
080908,756,1,0,2021
080909,800,0,0,2021
080910,108,1,0,2021
080911,175,1,0,2021
080912,14,1,0,2021
080913,15,0,0,2021
080914,2656,1,0,2021
081001,38,1,1,2021
081002,16,1,0,2021
081003,15,0,0,2021
081004,1,0,0,2021
081005,11,0,0,2021
081006,27,0,0,2021
081007,10,1,0,2021
081008,14,1,0,2021
081009,16,1,0,2021
081101,541,1,0,2021
081102,21,1,1,2021
081103,308,1,0,2021
081104,232,1,0,2021
081105,11,1,0,2021
081106,19,0,0,2021
081201,472,1,1,2021
081202,34,1,0,2021
081203,17,1,0,2021
081204,76,0,0,2021
081205,325,1,0,2021
081206,56,1,1,2021
081207,13,1,0,2021
081208,10,1,0,2021
081209,17,1,0,2021
081210,12,1,0,2021
081211,128,1,0,2021
081212,203,1,0,2021
081301,308,0,0,2021
081302,181,0,0,2021
081303,17,0,0,2021
081304,462,1,0,2021
081305,92,1,1,2021
081306,314,1,0,2021
081307,13,1,0,2021
090101,299,0,0,2021
090102,7,1,0,2021
090103,122,0,0,2021
090104,14,1,0,2021
090105,9,1,0,2021
090106,10,1,0,2021
090107,3,1,0,2021
090108,11,1,1,2021
090109,8,1,0,2021
090110,14,0,0,2021
090111,7,0,0,2021
090112,7,0,0,2021
090113,24,0,0,2021
090114,11,1,0,2021
090115,7,1,0,2021
090116,13,0,0,2021
090117,118,0,0,2021
090118,34,1,0,2021
090119,26,0,0,2021
090201,133,0,0,2021
090202,16,1,0,2021
090203,8,1,0,2021
090204,9,0,0,2021
090205,16,1,0,2021
090206,102,0,0,2021
090207,20,0,0,2021
090208,11,0,0,2021
090301,167,0,0,2021
090302,7,1,1,2021
090303,8,1,0,2021
090304,11,0,0,2021
090305,9,1,0,2021
090306,12,1,0,2021
090307,7,1,0,2021
090308,7,0,0,2021
090309,7,0,0,2021
090310,13,1,0,2021
090311,12,1,0,2021
090312,21,1,0,2021
090401,48,0,0,2021
090402,6,0,0,2021
090403,4,1,0,2021
090404,3,1,0,2021
090405,9,0,0,2021
090406,2,0,0,2021
090407,6,0,0,2021
090408,5,0,0,2021
090409,2,1,0,2021
090410,1,1,0,2021
090411,11,1,0,2021
090412,2,1,0,2021
090413,4,1,0,2021
090501,52,0,0,2021
090502,14,1,0,2021
090503,9,1,0,2021
090504,6,0,0,2021
090505,5,1,0,2021
090506,9,0,0,2021
090507,24,1,0,2021
090508,6,0,0,2021
090509,9,1,0,2021
090510,7,1,0,2021
090511,23,0,0,2021
090601,45,0,0,2021
090602,4,1,0,2021
090603,2,1,0,2021
090604,5,0,0,2021
090605,0,0,0,2021
090606,5,0,0,2021
090607,19,1,0,2021
090608,1,0,0,2021
090609,4,1,0,2021
090610,2,1,0,2021
090611,1,1,0,2021
090612,2,1,0,2021
090613,7,0,0,2021
090614,1,1,0,2021
090615,1,0,0,2021
090616,3,1,0,2021
090701,161,1,0,2021
090702,18,1,0,2021
090703,26,1,0,2021
090704,19,0,0,2021
090705,95,1,0,2021
090706,47,1,0,2021
090707,32,1,0,2021
090709,12,1,0,2021
090710,8,0,1,2021
090711,27,1,0,2021
090713,3,1,0,2021
090714,14,1,0,2021
090715,17,0,0,2021
090716,9,0,0,2021
090717,10,1,0,2021
090718,26,1,0,2021
090719,21,1,1,2021
090720,11,1,0,2021
090721,9,0,0,2021
090722,11,1,0,2021
090723,6,0,0,2021
100101,669,1,0,2021
100102,206,1,0,2021
100103,35,1,0,2021
100104,38,0,0,2021
100105,14,0,0,2021
100106,11,1,0,2021
100107,11,0,0,2021
100108,22,1,0,2021
100109,53,1,0,2021
100110,3,1,0,2021
100111,125,1,0,2021
100112,3,0,0,2021
