ubigeo,n_edificios,area_construida_m2,confianza_media,area_distrito_km2,densidad_edificios_km2
030103,3803,215224.59865403175,0.7725696558078402,636.6019171495548,5.9739059804096915
030104,16137,1046422.6277043655,0.7738244099348697,862.9310422418396,18.700219612075962
030105,3081,181167.1389966011,0.7927055506882672,428.71284791124253,7.186628567375865
030106,4210,213364.62478546827,0.7750794298858371,527.5511917099093,7.980268201753967
030107,5276,297564.76217985153,0.774956310977079,375.16186055193754,14.063263233202749
030108,2625,166623.84727287292,0.7836509710493542,118.37742095096318,22.174836881159823
030109,10064,624097.1104574311,0.7854548591486695,54.773162389139664,183.7396192043765
030201,34252,2270040.511873032,0.782804653741107,197.99406899538505,172.99508098294785
030202,6773,349554.9958307743,0.7774945077561002,186.33704089837317,36.34811397318445
030203,1488,74101.87431526184,0.7755557124813398,147.27516392096493,10.103536539253378
030204,7491,457964.6399550438,0.7782576290537241,156.8799129173871,47.74989901954343
030205,4924,265524.4746368248,0.779877294669008,111.55410220014836,44.14001729103111
030206,1465,70238.86562395096,0.7822939244960355,95.67260892973684,15.312637717195674
030207,7309,400572.9606815712,0.7811839512278825,310.201712835649,23.56208782081243
030208,5459,308251.1512075966,0.7782575381197407,260.3459423068994,20.968254590904493
030209,11161,626200.5008485317,0.7679552552616945,171.30489207275778,65.15283868985846
030210,4765,225386.767598629,0.7742333686239197,592.8254023634108,8.03777972570579
030211,1478,73844.20111989975,0.7783387688887136,123.31262742283356,11.985796028268892
030212,2860,169761.8675584793,0.7923372025673207,179.22590826702847,15.957514332910447
030213,20812,1303267.9092976796,0.7821769748894773,249.54191761991734,83.40081778043881
030214,2283,118681.56094408035,0.775791984611157,85.24391263820974,26.78197104454199
030215,11585,669833.3497875618,0.7799146311675159,156.67570634622282,73.94254201988025
030216,22576,1322475.829545213,0.7789135098742476,158.61104495972765,142.33561102716516
030217,4435,189652.20292520523,0.7783914093234762,455.1031805881112,9.745042858783872
030218,4371,241536.41229367256,0.7846327159094391,124.22716720704744,35.1855403151464
030219,2773,144870.86773633957,0.7784716913384563,112.51128740874657,24.646416051803424
030220,5926,321716.86020125047,0.7861058725382966,175.88884590144423,33.69173280789229
030301,4031,221484.7670567257,0.7806410072045598,604.7194352085844,6.665901185414351
030302,798,35671.49506855011,0.7886870939630016,66.84982283421154,11.93720441083368
030303,1982,113461.41065201035,0.7775076686674363,352.0283140237502,5.630228936261873
030304,2797,154619.45612411195,0.7948249191908825,634.6610828023483,4.4070765890510195
030305,3237,138471.2020509655,0.7686423230104915,1174.8810940824874,2.7551724308985546
030306,1132,60453.649310448076,0.7846756191009346,230.0740407487845,4.9201552522651575
030307,1117,65233.33493280411,0.7876245296737822,177.1788677018673,6.304363576132211
030401,4931,320799.1024626049,0.7794399917355369,340.2725743580376,14.491323637536421
030402,529,32647.39402961731,0.7892020795430938,83.59553976498141,6.328088812958424
030403,678,40239.82302188873,0.7712712387243906,231.1125931373749,2.933635033885809
030404,2013,118104.4603881836,0.790583855023268,204.81517601315815,9.82837326405284
